Tanggal,Emas,Dollar,Minyak Dunia,SNP 500
24/02/2015,"1.196,90","12.216,0","44,53",2115
25/02/2015,"1.201,00","12.207,5","48,24",2114
26/02/2015,"1.209,60","12.225,0","49,57",2111
27/02/2015,"1.212,60","12.247,5","53,05",2105
2/3/2015,"1.207,70","12.106,5","48,45",2117
3/3/2015,"1.204,00","12.032,5","50,48",2108
4/3/2015,"1.200,60","12.000,0","51,69",2099
5/3/2015,"1.195,90","12.012,5","52,86",2101
6/3/2015,"1.164,10","12.060,0","50,02",2071
9/3/2015,"1.166,40","12.066,0","48,84",2079
10/3/2015,"1.160,10","12.112,5","51,21",2044
11/3/2015,"1.150,70","12.170,0","52,78",2040
12/3/2015,"1.152,10","12.080,0","54,06",2066
13/03/2015,"1.152,60","12.125,0","53,61",2053
16/03/2015,"1.153,30","12.085,0","53,53",2081
17/03/2015,"1.148,30","12.107,5","52,14",2074
18/03/2015,"1.151,40","12.107,5","51,16",2100
19/03/2015,"1.169,10","12.142,5","50,34",2089
20/03/2015,"1.184,80","12.140,0","49,45",2108
23/03/2015,"1.188,00","12.172,5","49,28",2104
24/03/2015,"1.191,70","12.152,5","50,99",2092
25/03/2015,"1.197,30","12.205,0","48,17",2061
26/03/2015,"1.205,10","12.198,5","49,76",2056
27/03/2015,"1.199,80","12.202,5","49,59",2061
30/03/2015,"1.184,80","12.211,0","50,52",2086
31/03/2015,"1.183,10","12.204,5","51,53",2068
1/4/2015,"1.208,10","12.150,0","50,76",2060
2/4/2015,"1.200,90","12.147,5","49,61",2067
6/4/2015,"1.218,60","12.175,0","50,00",2067
7/4/2015,"1.210,60","12.148,5","48,29",2081
8/4/2015,"1.203,10","12.151,5","48,17",2076
9/4/2015,"1.193,60","12.164,0","47,05",2082
10/4/2015,"1.204,60","12.175,0","44,84",2091
13/04/2015,"1.199,30","12.177,0","43,88",2102
14/04/2015,"1.192,80","12.204,0","43,46",2092
15/04/2015,"1.201,50","12.272,5","44,66",2096
16/04/2015,"1.198,00","12.270,0","43,96",2107
17/04/2015,"1.202,90","12.298,5","45,72",2105
20/04/2015,"1.193,50","12.307,5","47,45",2081
21/04/2015,"1.202,90","12.296,5","47,51",2100
22/04/2015,"1.186,90","12.348,5","49,21",2097
23/04/2015,"1.194,40","12.329,5","51,43",2108
24/04/2015,"1.175,20","12.336,5","48,87",2113
27/04/2015,"1.203,30","12.348,5","48,68",2118
28/04/2015,"1.214,00","12.457,5","47,60",2109
29/04/2015,"1.209,80","12.697,5","50,09",2115
30/04/2015,"1.182,40","12.680,0","49,14",2107
1/5/2015,"1.174,50","12.657,5","49,14",2086
4/5/2015,"1.186,80","12.562,5","52,14",2108
5/5/2015,"1.193,20","12.485,0","53,98",2114
6/5/2015,"1.190,30","12.439,0","50,42",2089
7/5/2015,"1.182,40","12.450,0","50,79",2080
8/5/2015,"1.189,10","12.467,5","51,64",2088
11/5/2015,"1.183,20","12.467,5","51,91",2116
12/5/2015,"1.192,60","12.467,5","53,29",2105
13/05/2015,"1.218,40","12.447,0","56,39",2099
14/05/2015,"1.225,40","12.446,5","56,71",2098
15/05/2015,"1.225,50","12.385,0","55,74",2121
18/05/2015,"1.227,80","12.385,0","56,38",2123
19/05/2015,"1.206,90","12.542,5","55,26",2129
20/05/2015,"1.208,90","12.627,5","56,16",2128
21/05/2015,"1.204,40","12.657,5","57,74",2126
22/05/2015,"1.204,30","12.738,5","57,15",2131
26/05/2015,"1.187,20","12.680,0","56,99",2126
27/05/2015,"1.185,90","12.651,5","57,06",2126
28/05/2015,"1.188,10","12.597,5","58,58",2104
29/05/2015,"1.189,40","12.597,5","59,63",2123
1/6/2015,"1.188,30","12.613,0","59,15",2121
2/6/2015,"1.194,10","12.560,0","58,93",2107
3/6/2015,"1.184,70","12.587,5","60,40",2112
4/6/2015,"1.174,90","12.618,5","60,93",2110
5/6/2015,"1.167,80","12.584,0","58,94",2114
8/6/2015,"1.173,20","12.480,0","59,39",2096
9/6/2015,"1.177,30","12.487,5","59,25",2093
10/6/2015,"1.186,10","12.472,5","60,75",2079
11/6/2015,"1.179,90","12.510,0","60,50",2080
12/6/2015,"1.178,80","12.476,5","59,88",2105
15/06/2015,"1.185,30","12.486,0","59,69",2109
16/06/2015,"1.180,50","12.567,5","59,43",2094
17/06/2015,"1.176,40","12.667,5","57,26",2084
