"Tanggal","Terakhir","Pembukaan","Tertinggi","Terendah","Vol.","Perubahan%"
"17/01/2025","2.748,70","2.746,80","2.759,20","2.729,20","152,01K","-0,08%"
"16/01/2025","2.750,90","2.722,30","2.757,90","2.720,40","186,54K","1,22%"
"15/01/2025","2.717,80","2.693,30","2.722,70","2.685,40","193,72K","1,32%"
"14/01/2025","2.682,30","2.682,00","2.693,70","2.672,00","179,41K","0,14%"
"13/01/2025","2.678,60","2.716,80","2.723,80","2.675,20","211,09K","-1,34%"
"10/01/2025","2.715,00","2.692,90","2.735,00","2.686,90","298,41K","0,90%"
"09/01/2025","2.690,80","2.679,90","2.696,80","2.673,70","156,65K","0,69%"
"08/01/2025","2.672,40","2.662,90","2.687,00","2.658,40","197,37K","0,26%"
"07/01/2025","2.665,40","2.647,10","2.678,50","2.643,50","161,62K","0,68%"
"06/01/2025","2.647,40","2.652,80","2.663,80","2.624,60","169,92K","-0,27%"
"03/01/2025","2.654,70","2.671,10","2.681,00","2.649,70","121,17K","-0,54%"
"02/01/2025","2.669,00","2.641,00","2.674,20","2.636,10","144,52K","1,06%"
"31/12/2024","2.641,00","2.620,00","2.642,00","2.614,30","86,29K","0,87%"
"30/12/2024","2.618,10","2.636,10","2.640,70","2.608,40","110,92K","-0,01%"
"27/12/2024","2.618,40","2.639,70","2.639,70","2.612,10","0,64K","-0,83%"
"26/12/2024","2.640,30","2.623,30","2.642,40","2.622,80","1,40K","0,67%"
"24/12/2024","2.622,80","2.616,50","2.622,70","2.612,50","0,42K","0,28%"
"23/12/2024","2.615,50","2.627,30","2.632,90","2.610,20","0,56K","-0,65%"
"20/12/2024","2.632,50","2.597,70","2.640,70","2.595,70","0,51K","1,41%"
"19/12/2024","2.596,00","2.586,00","2.625,00","2.585,90","0,90K","-1,70%"
"18/12/2024","2.640,80","2.651,20","2.654,30","2.587,20","0,88K","-0,33%"
"17/12/2024","2.649,60","2.657,20","2.662,50","2.634,30","0,63K","-0,28%"
"16/12/2024","2.657,00","2.654,60","2.669,70","2.648,30","1,41K","-0,20%"
"13/12/2024","2.662,40","2.690,20","2.702,10","2.650,60","1,07K","-1,21%"
"12/12/2024","2.695,10","2.737,80","2.743,50","2.683,30","1,69K","-1,69%"
"11/12/2024","2.741,50","2.708,80","2.743,80","2.700,30","3,82K","1,33%"
"10/12/2024","2.705,60","2.669,80","2.708,80","2.669,80","1,41K","1,21%"
"09/12/2024","2.673,30","2.654,50","2.687,00","2.637,50","0,96K","0,99%"
"06/12/2024","2.647,10","2.642,40","2.655,00","2.629,50","0,80K","0,42%"
"05/12/2024","2.636,10","2.661,90","2.667,30","2.634,50","1,67K","-1,06%"
"04/12/2024","2.664,30","2.651,30","2.670,00","2.643,80","0,85K","0,32%"
"03/12/2024","2.655,90","2.652,00","2.665,00","2.645,00","0,61K","0,36%"
"02/12/2024","2.646,50","2.663,70","2.663,90","2.633,50","0,97K","-0,84%"
"29/11/2024","2.669,00","2.649,70","2.678,10","2.631,80","1,35K","0,63%"
"27/11/2024","2.652,30","2.646,40","2.670,70","2.641,10","2,27K","1,18%"
"26/11/2024","2.621,30","2.626,20","2.642,70","2.605,30","177,86K","0,11%"
"25/11/2024","2.618,50","2.716,90","2.723,20","2.616,60","305,34K","-3,45%"
"22/11/2024","2.712,20","2.672,00","2.718,50","2.670,10","220,55K","1,39%"
"21/11/2024","2.674,90","2.653,50","2.676,50","2.651,60","186,30K","0,87%"
"20/11/2024","2.651,70","2.635,80","2.659,00","2.621,90","182,01K","0,79%"
"19/11/2024","2.631,00","2.616,30","2.643,40","2.614,20","202,24K","0,63%"
"18/11/2024","2.614,60","2.571,50","2.619,50","2.568,50","195,29K","1,73%"
"15/11/2024","2.570,10","2.570,40","2.580,80","2.558,90","179,89K","-0,11%"
"14/11/2024","2.572,90","2.578,10","2.585,80","2.541,50","266,16K","-0,53%"
"13/11/2024","2.586,50","2.604,70","2.625,00","2.578,10","262,75K","-0,76%"
"12/11/2024","2.606,30","2.625,70","2.633,40","2.595,70","282,77K","-0,44%"
"11/11/2024","2.617,70","2.692,10","2.693,40","2.617,10","281,92K","-2,86%"
"08/11/2024","2.694,80","2.713,60","2.717,80","2.687,30","233,11K","-0,41%"
"07/11/2024","2.705,80","2.667,70","2.718,30","2.650,30","292,92K","1,10%"
"06/11/2024","2.676,30","2.752,60","2.758,80","2.660,70","361,31K","-2,67%"
"05/11/2024","2.749,70","2.746,00","2.759,50","2.733,40","151,43K","0,13%"
"04/11/2024","2.746,20","2.743,50","2.757,50","2.739,40","145,25K","-0,11%"
"01/11/2024","2.749,20","2.754,00","2.772,40","2.742,60","180,66K","0,00%"
"31/10/2024","2.749,30","2.799,10","2.801,20","2.741,80","242,57K","-1,84%"
"30/10/2024","2.800,80","2.786,90","2.801,80","2.782,40","191,55K","1,16%"
